FECHA (YYMMDD);HORA (HHMM);Registros validados;
040125;1000;1,5017;
040125;1100;2,34852;
040125;1200;2,97795;
040125;1300;3,26313;
040125;1400;3,38633;
040125;1500;3,15015;
040125;1600;3,21487;
040125;1700;3,50353;
040125;1800;3,20393;
040125;1900;2,40058;
040125;2000;2,03372;
040125;2100;1,64378;
040125;2200;1,41957;
040125;2300;0,741426;
040126;0000;0,716197;
040126;0100;0,7165;
040126;0200;0,741911;
040126;0300;0,778108;
040126;0400;0,3823;
040126;0500;0,72508;
040126;0600;0,907578;
040126;0700;1,02142;
040126;0800;0,978358;
040126;0900;0,921165;
040126;1000;1,58924;
040126;1100;1,91574;
040126;1200;2,94343;
040126;1300;2,8769;
040126;1400;2,88955;
040126;1500;3,09541;
040126;1600;3,4866;
040126;1700;3,57471;
040126;1800;3,30987;
040126;1900;3,00128;
040126;2000;2,53379;
040126;2100;2,45933;
040126;2200;1,66954;
040126;2300;0,990949;
040127;0000;0,485762;
040127;0100;0,975636;
040127;0200;0,761868;
040127;0300;0,943129;
040127;0400;0,87349;
040127;0500;0,886595;
040127;0600;0,875484;
040127;0700;0,552094;
040127;0800;0,665064;
040127;0900;1,21784;
040127;1000;0,638701;
040127;1100;1,11922;
040127;1200;2,07738;
040127;1300;3,24387;
040127;1400;3,32376;
040127;1500;3,12415;
040127;1600;3,34207;
040127;1700;3,47081;
040127;1800;3,39825;
040127;1900;3,12531;
040127;2000;2,01544;
040127;2100;2,22461;
040127;2200;1,50708;
040127;2300;0,739902;
040128;0000;0,497248;
040128;0100;0,467078;
040128;0200;0,934134;
040128;0300;0,74667;
040128;0400;0,626969;
040128;0500;0,460699;
040128;0600;0,284762;
040128;0700;0,385211;
040128;0800;1,06843;
040128;0900;1,40138;
040128;1000;1,15204;
040128;1100;1,01266;
040128;1200;2,51547;
040128;1300;2,56288;
040128;1400;2,69145;
040128;1500;3,4431;
040128;1600;3,44993;
040128;1700;4,05069;
040128;1800;3,27056;
040128;1900;2,20658;
040128;2000;1,23908;
040128;2100;0,857174;
040128;2200;0,826322;
040128;2300;0,881828;
040129;0000;0,909538;
040129;0100;1,10817;
040129;0200;0,774137;
040129;0300;0,84611;
040129;0400;0,643291;
040129;0500;0,214069;
040129;0600;0,243435;
040129;0700;1,12403;
040129;0800;1,53789;
040129;0900;1,20287;
040129;1000;1,25382;
040129;1100;0,509007;
040129;1200;2,2029;
040129;1300;2,58819;
040129;1400;2,62048;
040129;1500;3,16153;
040129;1600;3,68851;
040129;1700;3,39283;
040129;1800;3,42348;
040129;1900;2,43987;
040129;2000;2,3257;
040129;2100;2,75168;
040129;2200;2,05875;
040129;2300;1,30378;
040130;0000;0,983122;
040130;0100;0,592504;
040130;0200;0,98673;
040130;0300;0,501925;
040130;0400;0,552785;
040130;0500;0,888841;
040130;0600;0,763641;
040130;0700;1,14614;
040130;0800;1,66559;
