FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040209;0400;3;;;
040209;0500;1;;;
040209;0600;2;;;
040209;0700;3;;;
040209;0800;7;;;
040209;0900;19;;;
040209;1000;34;;;
040209;1100;74;;;
040209;1200;61;;;
040209;1300;59;;;
040209;1400;58;;;
040209;1500;53;;;
040209;1600;49;;;
040209;1700;47;;;
040209;1800;39;;;
040209;1900;30;;;
040209;2000;19;;;
040209;2100;16;;;
040209;2200;7;;;
040209;2300;2;;;
040210;0000;7;;;
040210;0100;4;;;
040210;0200;2;;;
040210;0300;2;;;
040210;0400;4;;;
040210;0500;2;;;
040210;0600;2;;;
040210;0700;3;;;
040210;0800;11;;;
040210;0900;33;;;
040210;1000;56;;;
040210;1100;61;;;
040210;1200;58;;;
040210;1300;56;;;
040210;1400;55;;;
040210;1500;54;;;
040210;1600;50;;;
040210;1700;43;;;
040210;1800;36;;;
040210;1900;30;;;
040210;2000;25;;;
040210;2100;24;;;
040210;2200;20;;;
040210;2300;19;;;
040211;0000;15;;;
040211;0100;14;;;
040211;0200;15;;;
040211;0300;15;;;
040211;0400;13;;;
040211;0500;6;;;
040211;0600;2;;;
040211;0700;4;;;
040211;0800;9;;;
040211;0900;15;;;
040211;1000;21;;;
040211;1100;35;;;
040211;1200;52;;;
040211;1300;51;;;
040211;1400;43;;;
040211;1500;38;;;
040211;1600;37;;;
040211;1700;33;;;
040211;1800;28;;;
040211;1900;22;;;
040211;2000;13;;;
040211;2100;10;;;
040211;2200;11;;;
040211;2300;4;;;
040212;0000;2;;;
040212;0100;11;;;
040212;0200;9;;;
040212;0300;6;;;
040212;0400;2;;;
040212;0500;2;;;
040212;0600;2;;;
040212;0700;3;;;
040212;0800;7;;;
040212;0900;19;;;
040212;1000;37;;;
040212;1100;58;;;
040212;1200;88;;;
040212;1300;72;;;
040212;1400;63;;;
040212;1500;58;;;
040212;1600;51;;;
040212;1700;46;;;
040212;1800;40;;;
040212;1900;28;;;
040212;2000;18;;;
040212;2100;18;;;
040212;2200;20;;;
040212;2300;15;;;
040213;0000;8;;;
040213;0100;11;;;
040213;0200;3;;;
040213;0300;2;;;
040213;0400;2;;;
040213;0500;2;;;
040213;0600;2;;;
040213;0700;3;;;
040213;0800;12;;;
040213;0900;19;;;
040213;1000;39;;;
040213;1100;62;;;
040213;1200;87;;;
040213;1300;65;;;
040213;1400;57;;;
040213;1500;51;;;
040213;1600;46;;;
040213;1700;44;;;
040213;1800;36;;;
040213;1900;29;;;
040213;2000;23;;;
040213;2100;19;;;
040213;2200;19;;;
040213;2300;18;;;
040214;0000;5;;;
040214;0100;2;;;
040214;0200;2;;;
040214;0300;2;;;
040214;0400;2;;;
040214;0500;2;;;
040214;0600;2;;;
040214;0700;3;;;
040214;0800;8;;;
040214;0900;23;;;
040214;1000;47;;;
040214;1100;68;;;
040214;1200;70;;;
040214;1300;65;;;
040214;1400;59;;;
040214;1500;54;;;
040214;1600;48;;;
040214;1700;45;;;
040214;1800;37;;;
040214;1900;30;;;
040214;2000;28;;;
040214;2100;25;;;
040214;2200;19;;;
040214;2300;12;;;
040215;0000;10;;;
040215;0100;9;;;
040215;0200;3;;;
040215;0300;2;;;
040215;0400;2;;;
040215;0500;2;;;
040215;0600;2;;;
040215;0700;5;;;
040215;0800;16;;;
040215;0900;30;;;
040215;1000;44;;;
040215;1100;51;;;
040215;1200;47;;;
040215;1300;48;;;
040215;1400;49;;;
040215;1500;47;;;
040215;1600;47;;;
040215;1700;43;;;
040215;1800;45;;;
040215;1900;38;;;
040215;2000;31;;;
040215;2100;20;;;
040215;2200;21;;;
040215;2300;17;;;
040216;0000;15;;;
040216;0100;15;;;
040216;0200;14;;;
040216;0300;15;;;
040216;0400;15;;;
040216;0500;10;;;
040216;0600;3;;;
040216;0700;5;;;
040216;0800;8;;;
040216;0900;17;;;
040216;1000;30;;;
040216;1100;42;;;
040216;1200;55;;;
040216;1300;54;;;
040216;1400;36;;;
040216;1500;40;;;
040216;1600;44;;;
040216;1700;35;;;
040216;1800;24;;;
040216;1900;13;;;
040216;2000;6;;;
040216;2100;6;;;
040216;2200;3;;;
040216;2300;2;;;
040217;0000;3;;;
040217;0100;3;;;
040217;0200;2;;;
040217;0300;4;;;
040217;0400;2;;;
040217;0500;2;;;
040217;0600;2;;;
040217;0700;3;;;
040217;0800;7;;;
040217;0900;17;;;
040217;1000;32;;;
040217;1100;51;;;
040217;1200;72;;;
040217;1300;74;;;
040217;1400;56;;;
040217;1500;50;;;
040217;1600;48;;;
040217;1700;43;;;
040217;1800;36;;;
040217;1900;27;;;
040217;2000;18;;;
040217;2100;12;;;
040217;2200;20;;;
040217;2300;17;;;
040218;0000;15;;;
040218;0100;11;;;
