FECHA (YYMMDD);HORA (HHMM);Registros validados;
040206;1200;52;
040206;1300;46,6666;
040206;1400;42,4166;
040206;1500;40,75;
040206;1600;41,5;
040206;1700;41,0833;
040206;1800;46;
040206;1900;54,8333;
040206;2000;60,9166;
040206;2100;67,3333;
040206;2200;72,25;
040206;2300;75,8333;
040207;0000;77;
040207;0100;78,6667;
040207;0200;84,25;
040207;0300;90,5833;
040207;0400;92,75;
040207;0500;94,1664;
040207;0600;93,8333;
040207;0700;87;
040207;0800;77,6664;
040207;0900;76,5833;
040207;1000;72,25;
040207;1100;66,4164;
040207;1200;60;
040207;1300;57,4166;
040207;1400;50,5;
040207;1500;48,3333;
040207;1600;44,75;
040207;1700;47,4166;
040207;1800;52,9166;
040207;1900;57,5;
040207;2000;62,75;
040207;2100;68,0833;
040207;2200;71,8333;
040207;2300;76,0833;
040208;0000;77,6664;
040208;0100;80,4164;
040208;0200;82,25;
040208;0300;83;
040208;0400;83,8333;
040208;0500;84,3333;
040208;0600;84;
040208;0700;79,0833;
040208;0800;71,3333;
040208;0900;65,0833;
040208;1000;56,8333;
040208;1100;51,5833;
040208;1200;47,8333;
040208;1300;43,5;
040208;1400;39,5;
040208;1500;37,25;
040208;1600;35,5;
040208;1700;33,6666;
040208;1800;34,3333;
040208;1900;38,6666;
040208;2000;46,3333;
040208;2100;50,75;
040208;2200;53,6666;
040208;2300;57,25;
040209;0000;59,6666;
040209;0100;63,75;
040209;0200;67,8333;
040209;0300;71,75;
040209;0400;73,9164;
040209;0500;76,1664;
040209;0600;74,1664;
040209;0700;57,5;
040209;0800;50;
040209;0900;44,6666;
040209;1000;37,6666;
040209;1100;33,8333;
040209;1200;32,4166;
040209;1300;32;
040209;1400;29;
040209;1500;28,8333;
040209;1600;28,5;
040209;1700;30,75;
040209;1800;31,6667;
040209;1900;34,6666;
040209;2000;39,4166;
040209;2100;43,5;
040209;2200;45,9166;
040209;2300;47,5;
040210;0000;46,75;
040210;0100;52,4166;
040210;0200;57,75;
040210;0300;56,1666;
040210;0400;60;
040210;0500;65,5;
040210;0600;68,75;
040210;0700;54,6666;
040210;0800;41,1666;
040210;0900;37,75;
040210;1000;36,0833;
040210;1100;35,6666;
040210;1200;33,0833;
040210;1300;32,6666;
040210;1400;33,5;
040210;1500;34,5;
040210;1600;37,4166;
040210;1700;40,5833;
040210;1800;45,75;
040210;1900;49;
040210;2000;51;
040210;2100;53,75;
040210;2200;64,75;
040210;2300;70;
040211;0000;75,6664;
040211;0100;80,0833;
040211;0200;82,4164;
040211;0300;86,9164;
040211;0400;90,25;
040211;0500;88,4164;
040211;0600;90,4164;
040211;0700;90;
040211;0800;85,3333;
040211;0900;80,75;
040211;1000;74,5833;
040211;1100;60,25;
040211;1200;54,6666;
040211;1300;49,9166;
040211;1400;50,4166;
040211;1500;54;
040211;1600;55,5833;
