FECHA (YYMMDD);HORA (HHMM);Registros validados;
040211;0000;17,4833;
040211;0100;16,7666;
040211;0200;16,325;
040211;0300;15,4583;
040211;0400;14,85;
040211;0500;15,3333;
040211;0600;14,9667;
040211;0700;15,0667;
040211;0800;16,1333;
040211;0900;17,275;
040211;1000;18,9666;
040211;1100;22,9583;
040211;1200;24,1833;
040211;1300;25,4166;
040211;1400;25,8583;
040211;1500;24,9333;
040211;1600;24,3167;
040211;1700;23,4833;
040211;1800;21,95;
040211;1900;20,2583;
040211;2000;18,7833;
040211;2100;17,5583;
040211;2200;17,0083;
040211;2300;16,4833;
040212;0000;16,1917;
040212;0100;14,9667;
040212;0200;14,6167;
040212;0300;14,2917;
040212;0400;13,8833;
040212;0500;13,9833;
040212;0600;13,7;
040212;0700;17,1917;
040212;0800;19;
040212;0900;21,15;
040212;1000;24,0583;
040212;1100;27,3167;
040212;1200;29,2166;
040212;1300;30,2083;
040212;1400;30,2666;
040212;1500;30,575;
040212;1600;30,4833;
040212;1700;29,9083;
040212;1800;28,3416;
040212;1900;25,0583;
040212;2000;22,3416;
040212;2100;21,0416;
040212;2200;20,3833;
040212;2300;19,7;
040213;0000;19,1083;
040213;0100;18,5583;
040213;0200;17,65;
040213;0300;16,9417;
040213;0400;16,25;
040213;0500;15,7;
040213;0600;16,2166;
040213;0700;20,5833;
040213;0800;22,6666;
040213;0900;24,4083;
040213;1000;27,0083;
040213;1100;28,25;
040213;1200;29,725;
040213;1300;30,275;
040213;1400;30,25;
040213;1500;30,5;
040213;1600;29,7916;
040213;1700;28,475;
040213;1800;26,3583;
040213;1900;23,6083;
040213;2000;21,6583;
040213;2100;20,8167;
040213;2200;20,275;
040213;2300;19,6667;
040214;0000;18,7333;
040214;0100;17,9333;
040214;0200;17,175;
040214;0300;16,4333;
040214;0400;15,8583;
040214;0500;16,0916;
040214;0600;16,2666;
040214;0700;18,4833;
040214;0800;21,7083;
040214;0900;24,075;
040214;1000;26,7916;
040214;1100;28,05;
040214;1200;29,0166;
040214;1300;29,8083;
040214;1400;30,4;
040214;1500;30,3083;
040214;1600;29,8083;
040214;1700;28,4;
040214;1800;25,675;
040214;1900;23;
040214;2000;21,3833;
040214;2100;20,6583;
040214;2200;19,7;
040214;2300;18,425;
040215;0000;17,6333;
040215;0100;16,8167;
040215;0200;16,125;
040215;0300;15,475;
040215;0400;15,0417;
040215;0500;14,8333;
040215;0600;14,7833;
040215;0700;19,3;
040215;0800;20,975;
040215;0900;22,6583;
040215;1000;24,5667;
040215;1100;25,6583;
040215;1200;26,3916;
040215;1300;26,9333;
040215;1400;26,3333;
040215;1500;25,8666;
040215;1600;25,3916;
040215;1700;23,525;
040215;1800;21,5333;
040215;1900;19,0416;
040215;2000;18,1833;
040215;2100;17,6083;
040215;2200;15,6167;
040215;2300;14,225;
040216;0000;13,4083;
040216;0100;12,95;
040216;0200;12,7917;
040216;0300;13,2417;
040216;0400;13,625;
040216;0500;13,5083;
040216;0600;13,5583;
040216;0700;13,5083;
040216;0800;14,375;
040216;0900;16,8333;
040216;1000;18,6583;
040216;1100;20,725;
040216;1200;23,125;
040216;1300;24,2545;
040216;1400;25,8916;
040216;1500;26,3916;
040216;1600;26,7583;
040216;1700;26,3583;
040216;1800;25,3;
040216;1900;23,1416;
040216;2000;21,0916;
040216;2100;19,6666;
040216;2200;18,7916;
040216;2300;17,825;
040217;0000;;
040217;0100;;
040217;0200;;
040217;0300;;
040217;0400;;
040217;0500;;
040217;0600;;
040217;0700;;
040217;0800;;
040217;0900;;
040217;1000;;
040217;1100;;
040217;1200;;
040217;1300;;
040217;1400;;
040217;1500;;
040217;1600;;
040217;1700;;
040217;1800;;
040217;1900;;
040217;2000;;
040217;2100;;
040217;2200;;
040217;2300;;
040218;0000;;
040218;0100;;
040218;0200;;
040218;0300;;
040218;0400;;
040218;0500;;
040218;0600;;
040218;0700;;
040218;0800;;
040218;0900;;
040218;1000;;
040218;1100;;
040218;1200;;
040218;1300;;
040218;1400;;
040218;1500;;
040218;1600;31,2166;
040218;1700;30,6;
040218;1800;29,6;
040218;1900;27,1833;
040218;2000;25,2;
040218;2100;23,425;
040218;2200;22,1917;
040218;2300;20,625;
040219;0000;19,0727;
040219;0100;17,9666;
040219;0200;16,8916;
040219;0300;16,45;
040219;0400;15,8916;
040219;0500;15,325;
040219;0600;14,9667;
040219;0700;18,75;
040219;0800;23,8333;
040219;0900;25,925;
040219;1000;28,7166;
040219;1100;30,9083;
040219;1200;31,95;
040219;1300;33,1833;
040219;1400;33,2916;
040219;1500;31,4583;
040219;1600;29,8167;
040219;1700;28,5667;
040219;1800;26,3916;
040219;1900;23,3167;
040219;2000;20,8;
040219;2100;19,3833;
040219;2200;18,1333;
040219;2300;17,3;
040220;0000;16,175;
040220;0100;15,4;
040220;0200;14,9417;
040220;0300;14,7417;
040220;0400;14,4667;
040220;0500;14,0583;
040220;0600;13,2917;
040220;0700;13,425;
040220;0800;14,1667;
040220;0900;15,9333;
040220;1000;18,625;
040220;1100;20,5583;
040220;1200;22,4166;
040220;1300;23,65;
040220;1400;23,9916;
040220;1500;24,6333;
040220;1600;24,875;
040220;1700;24,5333;
040220;1800;23,375;
040220;1900;21,35;
040220;2000;19,5667;
040220;2100;18,4333;
040220;2200;17,4167;
040220;2300;16,5;
040221;0000;15,8417;
040221;0100;15,2917;
